source,"source_file","publish_date","ingested_at",address,"product_description",postcode,"product_price","brand_description","trading_name",location,"site_features"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","492 Marmion St","Brand Diesel","6,154","229.9","7-Eleven","7-Eleven Booragoon",BOORAGOON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8D Picton Rd",ULP,"6,230","179.9","7-Eleven","7-Eleven Bunbury East","EAST BUNBURY","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","81-93 West St",PULP,"6,280","194.9","7-Eleven","7-Eleven Busselton",BUSSELTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","81-93 West St","Brand Diesel","6,280","229.9","7-Eleven","7-Eleven Busselton",BUSSELTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","81-93 West St","98 RON","6,280","202.9","7-Eleven","7-Eleven Busselton",BUSSELTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","270 Butler Bvd",PULP,"6,036","191.9","7-Eleven","7-Eleven Butler",BUTLER,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","270 Butler Bvd","Brand Diesel","6,036","219.9","7-Eleven","7-Eleven Butler",BUTLER,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","270 Butler Bvd","98 RON","6,036","199.9","7-Eleven","7-Eleven Butler",BUTLER,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","232 Orrong Rd","Brand Diesel","6,101","229.9","7-Eleven","7-Eleven Carlisle",CARLISLE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","232 Orrong Rd","98 RON","6,101","198.9","7-Eleven","7-Eleven Carlisle",CARLISLE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2131 West Swan Rd",ULP,"6,055","175.9","7-Eleven","7-Eleven Caversham",CAVERSHAM,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2131 West Swan Rd","Brand Diesel","6,055","222.9","7-Eleven","7-Eleven Caversham",CAVERSHAM,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","19 Neerabup Dr",ULP,"6,030","177.9","7-Eleven","7-Eleven Clarkson",CLARKSON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","814 North Lake Rd",PULP,"6,164","188.9","7-Eleven","7-Eleven Cockburn Central","COCKBURN CENTRAL","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","51 Tiffany Ctr",ULP,"6,230","179.9","7-Eleven","7-Eleven Dalyellup",DALYELLUP,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","10 Swaisdale Ent",ULP,"6,055","175.9","7-Eleven","7-Eleven Dayton",DAYTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","10 Swaisdale Ent",PULP,"6,055","190.9","7-Eleven","7-Eleven Dayton",DAYTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","10 Swaisdale Ent","Brand Diesel","6,055","229.9","7-Eleven","7-Eleven Dayton",DAYTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","100 Commonage Rd","Brand Diesel","6,281","235.9","7-Eleven","7-Eleven Dunsborough",DUNSBOROUGH,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","100 Commonage Rd","98 RON","6,281","212.9","7-Eleven","7-Eleven Dunsborough",DUNSBOROUGH,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","15 Albatross Cres",PULP,"6,232","194.9","7-Eleven","7-Eleven Eaton",EATON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","Cnr Main St & Pinaster Pde",PULP,"6,069","190.9","7-Eleven","7-Eleven Ellenbrook Central",ELLENBROOK,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","215 Flores Rd",ULP,"6,530","182.9","7-Eleven","7-Eleven Geraldton North",SPALDING,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","215 Flores Rd","98 RON","6,530","205.9","7-Eleven","7-Eleven Geraldton North",SPALDING,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","52 Thundelarra Dr","98 RON","6,174","194.9","7-Eleven","7-Eleven Golden Bay","GOLDEN BAY","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","303 Corfield St",PULP,"6,110","190.9","7-Eleven","7-Eleven Gosnells",GOSNELLS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","303 Corfield St","Brand Diesel","6,110","229.9","7-Eleven","7-Eleven Gosnells",GOSNELLS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","303 Corfield St","98 RON","6,110","198.9","7-Eleven","7-Eleven Gosnells",GOSNELLS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1 Eaglemont St","Brand Diesel","6,210","225.9","7-Eleven","7-Eleven Greenfields",GREENFIELDS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","13 Lakes Rd",ULP,"6,210","175.9","7-Eleven","7-Eleven Greenfields South",GREENFIELDS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","13 Lakes Rd",PULP,"6,210","190.9","7-Eleven","7-Eleven Greenfields South",GREENFIELDS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","120 Yellowwood Ave",PULP,"6,112","190.9","7-Eleven","7-Eleven Harrisdale",HARRISDALE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","120 Yellowwood Ave","Brand Diesel","6,112","225.9","7-Eleven","7-Eleven Harrisdale",HARRISDALE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Buick Way",PULP,"6,027","190.9","7-Eleven","7-Eleven Joondalup",JOONDALUP,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1 South St","98 RON","6,163","198.9","7-Eleven","7-Eleven Kardinya",KARDINYA,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","105 Champion Dr",ULP,"6,111","176.9","7-Eleven","7-Eleven Kelmscott",KELMSCOTT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","4 Church St",ULP,"6,111","175.9","7-Eleven","7-Eleven Kelmscott Central",KELMSCOTT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","4 Church St",PULP,"6,111","190.9","7-Eleven","7-Eleven Kelmscott Central",KELMSCOTT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","4 Church St","98 RON","6,111","198.9","7-Eleven","7-Eleven Kelmscott Central",KELMSCOTT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Mullingar Way",PULP,"6,065","188.9","7-Eleven","7-Eleven Landsdale",LANDSDALE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Mullingar Way","Brand Diesel","6,065","219.9","7-Eleven","7-Eleven Landsdale",LANDSDALE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Mullingar Way","98 RON","6,065","196.9","7-Eleven","7-Eleven Landsdale",LANDSDALE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1969 Albany Hwy",PULP,"6,109","190.9","7-Eleven","7-Eleven Maddington South",MADDINGTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1969 Albany Hwy","Brand Diesel","6,109","219.9","7-Eleven","7-Eleven Maddington South",MADDINGTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","324 The Broadway","Brand Diesel","6,069","229.9","7-Eleven","7-Eleven Malvern Springs",ELLENBROOK,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","296 Pinjarra Rd",ULP,"6,210","175.9","7-Eleven","7-Eleven Mandurah",MANDURAH,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Clayton St",PULP,"6,056","190.9","7-Eleven","7-Eleven Midland",MIDLAND,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","8 Clayton St","98 RON","6,056","198.9","7-Eleven","7-Eleven Midland",MIDLAND,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","162 Russell St",PULP,"6,062","190.9","7-Eleven","7-Eleven Morley",MORLEY,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","235 Welshpool Rd",PULP,"6,107","190.9","7-Eleven","7-Eleven Queens Park","QUEENS PARK","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","35 Kilrush Turn","98 RON","6,030","198.9","7-Eleven","7-Eleven Ridgewood",RIDGEWOOD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","129 Dixon Rd","98 RON","6,168","200.9","7-Eleven","7-Eleven Rockingham","EAST ROCKINGHAM","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2 Sepia Ct",PULP,"6,168","190.9","7-Eleven","7-Eleven Rockingham Central",ROCKINGHAM,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2 Sepia Ct","98 RON","6,168","198.9","7-Eleven","7-Eleven Rockingham Central",ROCKINGHAM,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","660 Beeliar Dr","98 RON","6,164","198.9","7-Eleven","7-Eleven Success",SUCCESS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","147-149 Grand Ent",ULP,"6,233","179.9","7-Eleven","7-Eleven Treendale",AUSTRALIND,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","147-149 Grand Ent","Brand Diesel","6,233","229.9","7-Eleven","7-Eleven Treendale",AUSTRALIND,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","929-931 Wanneroo Rd",PULP,"6,065","188.9","7-Eleven","7-Eleven Wanneroo South",WANNEROO,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","929-931 Wanneroo Rd","Brand Diesel","6,065","219.9","7-Eleven","7-Eleven Wanneroo South",WANNEROO,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","332 Hale Rd",PULP,"6,107","190.9","7-Eleven","7-Eleven Wattle Grove","WATTLE GROVE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","332 Hale Rd","Brand Diesel","6,107","219.9","7-Eleven","7-Eleven Wattle Grove","WATTLE GROVE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2 Tamala Lane",ULP,"6,035","177.9","7-Eleven","7-Eleven Yanchep",YANCHEP,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","9522 Chester Pass Rd",Diesel,"6,338","270.3",BP,"Amelup Service Station",AMELUP,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","225-227 Albany Hwy","98 RON","6,330","204.9",FuelTech,"AMPM Highway","MOUNT MELVILLE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","634 Menang Dr",ULP,"6,330","185.9",Ampol,"Ampol Albany Diesel Stop",WILLYUNG,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","634 Menang Dr",Diesel,"6,330","229.9",Ampol,"Ampol Albany Diesel Stop",WILLYUNG,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","5 Cocos Dr","Brand Diesel","6,163","223.9",Ampol,"Ampol Bibra Lake Diesel Stop","BIBRA LAKE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","21 Coronation Dr","98 RON","6,233","211.5",Ampol,"Ampol Binningup",BINNINGUP,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1 Spencer St",ULP,"6,255","191.9",Ampol,"Ampol Bridgetown Diesel Stop",BRIDGETOWN,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1 Spencer St",Diesel,"6,255","232.9",Ampol,"Ampol Bridgetown Diesel Stop",BRIDGETOWN,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","124 Throssell St",ULP,"6,225","189.9",Ampol,"Ampol Collie",COLLIE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","204 Great Eastern Hwy","98 RON","6,104","206.9",Ampol,"Ampol Foodary Ascot",ASCOT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","2 Hollosy Way",PULP,"6,065","196.9",Ampol,"Ampol Foodary Ashby",ASHBY,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","614 Baldivis Rd",ULP,"6,171","179.9",Ampol,"Ampol Foodary Baldivis",BALDIVIS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","614 Baldivis Rd",PULP,"6,171","196.9",Ampol,"Ampol Foodary Baldivis",BALDIVIS,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","60 Bannister Rd",ULP,"6,155","179.9",Ampol,"Ampol Foodary Bannister Road","CANNING VALE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","60 Bannister Rd",Diesel,"6,155","222.9",Ampol,"Ampol Foodary Bannister Road","CANNING VALE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","60 Bannister Rd","98 RON","6,155","206.9",Ampol,"Ampol Foodary Bannister Road","CANNING VALE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","303 Great Eastern Hwy",ULP,"6,104","179.9",Ampol,"Ampol Foodary Belmont",BELMONT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","50 Mavis Rd","Brand Diesel","6,725","249.9",Ampol,"Ampol Foodary Broome",BILINGURR,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","115 Strelly St",PULP,"6,280","198.9",Ampol,"Ampol Foodary Busselton",BUSSELTON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","11 Headingly Cr","Brand Diesel","6,036","225.9",Ampol,"Ampol Foodary Butler",BUTLER,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","Lot 22 South Western Hwy",PULP,"6,122","196.9",Ampol,"Ampol Foodary Byford",BYFORD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","Lot 22 South Western Hwy",Diesel,"6,122","218.9",Ampol,"Ampol Foodary Byford",BYFORD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","Lot 22 South Western Hwy","98 RON","6,122","206.9",Ampol,"Ampol Foodary Byford",BYFORD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","595 Robinson St",Diesel,"6,701","259.9",Ampol,"Ampol Foodary Carnarvon",KINGSFORD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","595 Robinson St","98 RON","6,701","242.9",Ampol,"Ampol Foodary Carnarvon",KINGSFORD,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","7 Ocean Keys Bvd","98 RON","6,030","206.9",Ampol,"Ampol Foodary Clarkson",CLARKSON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","875 Beeliar Dr",ULP,"6,164","179.9",Ampol,"Ampol Foodary Cockburn Central",JANDAKOT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","875 Beeliar Dr","98 RON","6,164","206.9",Ampol,"Ampol Foodary Cockburn Central",JANDAKOT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","110-114 Bayley St",ULP,"6,429","219.9",Ampol,"Ampol Foodary Coolgardie",COOLGARDIE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","110-114 Bayley St","Brand Diesel","6,429","259.9",Ampol,"Ampol Foodary Coolgardie",COOLGARDIE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","365 Scarborough Beach Rd",ULP,"6,018","179.9",Ampol,"Ampol Foodary Doubleview",DOUBLEVIEW,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","365 Scarborough Beach Rd","Brand Diesel","6,018","223.9",Ampol,"Ampol Foodary Doubleview",DOUBLEVIEW,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1 Pratt Rd","98 RON","6,232","206.9",Ampol,"Ampol Foodary Eaton",EATON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","112 Oakleigh Dr",ULP,"6,210","179.9",Ampol,"Ampol Foodary Erskine",ERSKINE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","112 Oakleigh Dr","Brand Diesel","6,210","229.9",Ampol,"Ampol Foodary Erskine",ERSKINE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","112 Oakleigh Dr","98 RON","6,210","206.9",Ampol,"Ampol Foodary Erskine",ERSKINE,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","59 Dempster St",ULP,"6,450","192.9",Ampol,"Ampol Foodary Esperance",ESPERANCE,"(blank)"
