url,text,author,query,created_at,date,platform,ingested_at,like,reply,repost,is_fuel,is_cost,is_au,sentiment_score,sentiment_label,matched_location
at://did:plc:ikt6yfbz2g6sqqrqjwz2jdg7/app.bsky.feed.post/3mm4zlhm5gb2s,"$USO $SPY Australia just went full 0DTE: halve the tax, double the demand, and pray the Strait of Hormuz opens before your diesel tank hits E. Because nothing screams “sound energy planning” like increasing demand for fuel you can’t even buy.",sabstuck.com,fuel Australia,2026-05-18T13:53:23Z,2026-05-18,bluesky,2026-05-18T15:57:31.369772+00:00,0,0,0,True,True,True,0.4356,positive,Australia
at://did:plc:qorskd76epqh3gxm65bkwdvx/app.bsky.feed.post/3mm4szxt2e72b,"AirAsia to Suspend Melbourne and Adelaide Flights to Bali Amid Rising Global Fuel Costs

Indonesia AirAsia will suspend two flight routes connecting Australia and Bali starting June 18, 2026, as airlines face increasing operational pressure from rising global jet fuel prices linked to geopolitical…",dewata.news,fuel Australia,2026-05-18T11:56:12Z,2026-05-18,bluesky,2026-05-18T15:57:31.370047+00:00,0,0,0,True,False,True,-0.7003,negative,Victoria
at://did:plc:hrnmlandomm3z6itmxs7aden/app.bsky.feed.post/3mm4jzbo6ic25,All good I live in Australia we pay a fuel tax for petrol and diesel and LGP. Electric cars don’t. I am not sure what the deal is in the US,chrpaw25.bsky.social,fuel Australia,2026-05-18T09:14:47.533Z,2026-05-18,bluesky,2026-05-18T15:57:31.370235+00:00,0,1,0,True,False,True,0.1376,positive,Australia
at://did:plc:4jwf2n2aiwobyjap2ccqnwxt/app.bsky.feed.post/3mm4fbw4lks2l,"Mount Pleasant Coal Mine extension block case.
This current High Court of Australia case will create a binding national precedent that could affect numerous fossil fuel developments under consideration across the country.
www.unsw.edu.au/newsroom/new...",colinj51.bsky.social,fuel Australia,2026-05-18T07:50:08.701Z,2026-05-18,bluesky,2026-05-18T15:57:31.370443+00:00,1,0,0,True,True,True,0.3612,positive,NSW
at://did:plc:xhrtfphu4gzqrztkpb3a63qf/app.bsky.feed.post/3mm45in7s3m2q,"[2/4] arrival of the holiday travel peak, the global supply chain of crude oil, gasoline, diesel and aviation kerosene will be under greater pressure. And now, global fuel inventories are bottoming out at the fastest pace on record. To this end, Australia has pledged to spend $10",babygoldie.bsky.social,fuel Australia,2026-05-18T05:30:44.147256+00:00,2026-05-18,bluesky,2026-05-18T15:57:31.370705+00:00,0,1,0,True,False,True,-0.1779,negative,Australia
at://did:plc:e5eb737cfwve3aunt6kwjbqd/app.bsky.feed.post/3mm43ussx7h2s,"Family buyers fuel $2.65m auction win for renovated bungalow

https://www.europesays.com/australia/13287/

A renovated character bungalow in one of Adelaide’s most tightly held suburbs has sold under the hammer for…",eu-au.bsky.social,fuel Australia,2026-05-18T05:00:14+00:00,2026-05-18,bluesky,2026-05-18T15:57:31.370858+00:00,0,0,0,True,False,True,0.5859,positive,Australia
at://did:plc:yhi3r3pyy4hvqwuxpo3wkanv/app.bsky.feed.post/3mm3td6guhk2c,In Australia the price of Regular is about US$5.70 a gallon. If you add back the fuel tax rebate the government has put in place it becomes US$6.42. Before Trump started this BS war the price was about US$3.85. No one in Australia is a fan of your President. This is on him.,2phat1.bsky.social,fuel Australia,2026-05-18T02:28:43.631Z,2026-05-18,bluesky,2026-05-18T15:57:31.371101+00:00,1,1,0,True,False,True,-0.5859,negative,WA
at://did:plc:2647g3p736k7p62nrbbaeq3y/app.bsky.feed.post/3mm3otgeuls2a,"Our politicians in Australia cry poor regularly too.
They couldn't survive if they had to pay for their own fuel, travel, accommodation and whatever else they can shove their snouts into in the trough.",c-i-t.bsky.social,fuel Australia,2026-05-18T01:08:20.115Z,2026-05-18,bluesky,2026-05-18T15:57:31.371288+00:00,0,0,0,True,False,True,-0.765,negative,Australia
at://did:plc:22r6temnauqu2nkngzwuad5g/app.bsky.feed.post/3mm3lvjktv226,"Permanent residents and Refugee (humanitarian) possible entitlements in Australia
Given we provide $28,381 for every minute of every day of the year to the fossil fuel industry,perhaps the opposition priorities and whining are not rational or based in fact.
#auspol",shartymcscrote.bsky.social,fuel Australia,2026-05-18T00:15:49.339Z,2026-05-18,bluesky,2026-05-18T15:57:31.371454+00:00,3,0,2,True,False,True,-0.2263,negative,Australia
at://did:plc:k5bxdlpblblb6nygunqvdgis/app.bsky.feed.post/3mm3kuld6fj2n,"Fuel Supply Chains: Australia's Stockpile Reality

Is Australia's fuel supply chain secure? Explore stockpile realities, strategic reserves, and the nation's energy buffer in times of…

https://theboard.world/articles/energy/fuel-supply-chains-australia-stockpile-realities

#energy #oil #OPEC #macro",geoworldpolitical.bsky.social,fuel Australia,2026-05-17T23:57:23.612Z,2026-05-17,bluesky,2026-05-18T15:57:31.371678+00:00,0,0,0,True,True,True,0.6808,positive,Australia
at://did:plc:ikt6yfbz2g6sqqrqjwz2jdg7/app.bsky.feed.post/3mm4zlhm5gb2s,"$USO $SPY Australia just went full 0DTE: halve the tax, double the demand, and pray the Strait of Hormuz opens before your diesel tank hits E. Because nothing screams “sound energy planning” like increasing demand for fuel you can’t even buy.",sabstuck.com,diesel Australia,2026-05-18T13:53:23Z,2026-05-18,bluesky,2026-05-18T15:57:31.514797+00:00,0,0,0,True,True,True,0.4356,positive,Australia
at://did:plc:6ml4nxrk45cy23jay5hc2npp/app.bsky.feed.post/3mm4opzgtis2a,"You know how gasoline and diesel are so expensive in California because they are a geographically isolated region without pipeline supplies?  It doesn't help when they sell their diesel to Australia. Highest bidder wins! 

""Los Angeles refinery has sent diesel to Australia for the first time""",justinmikulka.bsky.social,diesel Australia,2026-05-18T10:39:04.298Z,2026-05-18,bluesky,2026-05-18T15:57:31.515091+00:00,11,1,1,True,False,True,0.1114,positive,Australia
at://did:plc:hrnmlandomm3z6itmxs7aden/app.bsky.feed.post/3mm4jzbo6ic25,All good I live in Australia we pay a fuel tax for petrol and diesel and LGP. Electric cars don’t. I am not sure what the deal is in the US,chrpaw25.bsky.social,diesel Australia,2026-05-18T09:14:47.533Z,2026-05-18,bluesky,2026-05-18T15:57:31.515651+00:00,0,1,0,True,False,True,0.1376,positive,Australia
at://did:plc:xhrtfphu4gzqrztkpb3a63qf/app.bsky.feed.post/3mm45in7s3m2q,"[2/4] arrival of the holiday travel peak, the global supply chain of crude oil, gasoline, diesel and aviation kerosene will be under greater pressure. And now, global fuel inventories are bottoming out at the fastest pace on record. To this end, Australia has pledged to spend $10",babygoldie.bsky.social,diesel Australia,2026-05-18T05:30:44.147256+00:00,2026-05-18,bluesky,2026-05-18T15:57:31.516234+00:00,0,1,0,True,False,True,-0.1779,negative,Australia
at://did:plc:lc6hdhnjkgccd6ysi7e23pll/app.bsky.feed.post/3mm36lg6z7e2y,"Can electric trucks win over Australia's fossil fuel die hards? Or is diesel here for the long haul?
->The Guardian | More on ""Electric trucks replacing diesel Australia"" at BigEarthData.ai | #ClimateChange #FossilFuel",bigearthdata.ai,diesel Australia,2026-05-17T20:17:31.277385+00:00,2026-05-17,bluesky,2026-05-18T15:57:31.516517+00:00,1,0,0,True,False,True,-0.1179,negative,Australia
at://did:plc:unqdectw7gpcyjpxkl3j2ihv/app.bsky.feed.post/3mm2x7pvp3c2n,EV Truck Sales (Australia) “Quality News Links” (EVTruckSales.com) NewsRecyclers.com by Australian Gene Downs The Generic Strategist > Record electric truck sales in March as historic 'price parity' with diesel achieved - ABC News > www.abc.net.au/news/science...,genericgene.bsky.social,diesel Australia,2026-05-17T18:05:42.953Z,2026-05-17,bluesky,2026-05-18T15:57:31.516686+00:00,0,0,0,True,False,True,0.0,neutral,Australia
at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mm2ojvlbyl23,"Can electric trucks win over Australia’s fossil fuel die hards? Or is diesel here for the long haul? | Environment

https://www.europesays.com/2997340/

It was one of the most extreme tests for an electric truck in Australia – pulling 68 tonnes…",europesays.bsky.social,diesel Australia,2026-05-17T15:30:17+00:00,2026-05-17,bluesky,2026-05-18T15:57:31.516900+00:00,0,0,0,True,False,True,-0.1179,negative,WA
at://did:plc:etpuufiqdupukey44g643yih/app.bsky.feed.post/3mm2c6iyokk23,"The principle here is gross dishonesty from The Australia Institute who refuse to answer basic questions re: their ""brilliant idea"". How does the tax magically go to the things they say it will instead of more subs + diesel?",f2r3e5d4.bsky.social,diesel Australia,2026-05-17T11:49:13.579Z,2026-05-17,bluesky,2026-05-18T15:57:31.517111+00:00,0,0,0,True,False,True,-0.128,negative,NSW
at://did:plc:bzyg3u7w33bjnargw736mm5w/app.bsky.feed.post/3mlxeaprue22y,"Australia is sleep walking into a Diesel Truck transport disaster. Daniel Bleakley from New Energy Transport and I open with a stark warning in this detailed interview
youtu.be/eMdYyKEnuV4",neeravbhatt.bsky.social,diesel Australia,2026-05-16T07:48:16.073Z,2026-05-16,bluesky,2026-05-18T15:57:31.517301+00:00,0,0,0,True,True,True,-0.6597,negative,WA
at://did:plc:e5eb737cfwve3aunt6kwjbqd/app.bsky.feed.post/3mlx4jnpwq32x,"Anthony Albanese says fuel supply now above pre-war levels, no word on fuel excise extension

https://www.europesays.com/australia/12351/

Australia’s supply of petrol, diesel and jet fuel is now greater than it was before the Iran war…",eu-au.bsky.social,diesel Australia,2026-05-16T05:30:03+00:00,2026-05-16,bluesky,2026-05-18T15:57:31.517608+00:00,0,0,0,True,False,True,0.0772,positive,WA
